;Worldwide Navaid Database for PSS
;Exported via DFD v1.0 13.0401
;Software copyright (c) 2013 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;This data is copyrighted and may not be used, recompiled, interpreted or
;distributed for any purpose without the written consent
;of Navigraph.
;
;The contents of this database is dated and must not be
;used for real world navigation as it is unlawful and
;unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1304 (04/APR/2013 - 01/MAY/2013) - Ver.1
CAH3  49.679445-124.981667 9     ;COURTENAY
CAH4  52.852778-119.336389 2616  ;VALEMOUNT
CAJ2  66.491111-136.573333 2365  ;WILEY
CAJ3  49.036606-116.498000 2094  ;CRESTON
CAJ4  52.451275-125.303608 3642  ;ANAHIM LAKE
CAJ7  50.450000-113.750000 3450  ;CAYLEY/A. J. FLYING RANCH
CAJ9  57.426111-125.646111 2450  ;FT WARE
CAK0  61.218722-142.889825 1052  ;JAKES BAR
CAK1  61.530317-149.017636 64    ;BUTTE MUN
CAK3  49.073611-122.941111 10    ;DELTA HERITAGE AIR PARK
CAK7  64.198056-147.928611 1720  ;GOLD KING CREEK
CAL3  50.166667-120.183333 2700  ;DOUGLAS LAKE
CAL4  57.223889-111.418889 1048  ;ALBIAN
CAL5  52.066667-123.266667 2300  ;ALEXIS LAKE
CAM3  48.758333-123.716667 300   ;DUNCAN
CAM5  54.433333-126.783333 2150  ;HOUSTON
CAP3  49.460556-123.718611 300   ;SECHELT
CAP6  56.790556-124.896667 2230  ;INGENIKA
CAQ4  51.955556-122.139444 3250  ;SPRINGHOUSE AIRPARK
CAQ5  50.266389-117.812778 1689  ;NAKUSP
CAQY  60.966097-149.125789 150   ;GIRDWOOD
CAR2  49.666667-116.816667 1760  ;CRAWFORD BAY
CAS2  53.073333-125.409167 3500  ;MOOSE LAKE LODGE
CAS3  53.088056-121.515278 4060  ;BARKERVILLE
CAT1  43.683333 -81.004444 1215  ;ATWOOD/COGHLIN
CAT4  49.337297-124.393878 190   ;QUALICUM BEACH
CAT5  50.571111-127.024722 210   ;PORT MC NEILL
CAU3  49.173333-119.551111 1015  ;OLIVER
CAU4  54.046739-124.011186 2229  ;VANDERHOOF
CAV3  51.642500-121.306945 3055  ;ONE HUNDRED MILE HOUSE
CAV4  53.315000-120.170556 2350  ;MCBRIDE/CHARLIE LEAKE FIELD
CAV9  50.137778 -97.061389 755   ;OAK HAMMOCK AIR PARK
CAW3  51.800000-123.583333 3950  ;SCUM LAKE
CAX2  57.269036-109.847503 1758  ;AXE LAKE
CAX5  52.616667-121.500000 3225  ;LIKELY
CAY2  51.551667-122.326945 2150  ;GANG RANCH
CAZ5  50.775039-121.321208 2040  ;CACHE CREEK
CBA8  53.855556-122.907500 2420  ;BEAVERLEY
CBA9  56.270750-124.063847 2300  ;OSPIKA
CBB7  49.743056-122.163056 55    ;TIPELLA
CBB9  49.037222-119.488889 1100  ;OSOYOOS
CBBC  52.185125-128.156792 141   ;BELLA BELLA CAMPBELL ISLAND
CBC2  66.037500-124.715000 673   ;FORD BAY
CBD6  61.029586-123.388350 598   ;NAHANNI BUTTE
CBE2  49.283333-115.150000 2850  ;ELKO
CBF9  50.608889-118.731111 1410  ;MABEL LAKE
CBG2  51.429445-121.209722 3550  ;GREEN LAKE
CBH2  59.425772-120.797517 1930  ;HELMET
CBH4  61.564722-124.815000 2950  ;PRAIRIE CREEK
CBJ4  51.241667-121.994167 3650  ;ECHO VALLEY
CBJ6  60.333333-123.833334 1400  ;POINTED MOUNTAIN
CBK6  52.515000-121.045000 2500  ;QUESNEL LAKE
CBK7  58.849445-125.240000 2400  ;MILE 422 ALASKA HIGHWAY
CBL3  58.816667-122.783333 1625  ;GORDON FIELD
CBL6  50.633333-116.100000 2650  ;RADIUM HOT SPRINGS
CBL9  51.512778-123.804445 4080  ;ELKIN CREEK GUEST RANCH
CBM5  57.916667-131.116667 1100  ;TELEGRAPH CREEK
CBM6  49.010000-118.789722 1896  ;MIDWAY
CBN9  56.906111-124.965000 2280  ;TSAY KEH
CBQ2  49.167472-122.554417 30    ;FORT LANGLEY
CBQ7  56.974334-126.741000 4191  ;KEMESS CREEK
CBQ8  55.066667-128.233333 537   ;WOODCOCK
CBR2  49.903611-116.935278 2354  ;KASLO
CBS2  49.293900-103.019583 1955  ;BLUE SKY
CBS4  59.783333-136.583333 2900  ;MULE CREEK
CBS7  50.066389-105.300556 2120  ;BRIERCREST SOUTH
CBS8  49.321945-124.931111 247   ;ALBERNI VALLEY REGIONAL
CBT3  52.971945-125.026667 3550  ;PAN PHILLIPS
CBT6  50.166667-120.500000 2100  ;QUILCHENA
CBU2  57.847222-129.982778 3100  ;ISKUT VILLAGE
CBV6  59.750000-121.833334 1650  ;PETITOT
CBW2  54.166667-128.583333 250   ;KITIMAT
CBW3  56.521667-124.468333 2230  ;FORT GRAHAME
CBW4  56.966759-130.249314 1968  ;BOB QUINN LAKE
CBW8  44.277500 -79.361583 750   ;BALDWIN WEST
CBX2  58.834722-121.392778 1860  ;MOBIL SIERRA
CBX3  51.950000-124.883334 3000  ;CHILANKO LODGE
CBX5  61.956945-128.202778 3500  ;CANTUNG
CBX7  55.027347-120.931000 3060  ;TUMBLER RIDGE
CBYA  64.078303-141.113375 2940  ;BOUNDARY
CBZ9  54.013333-124.768333 2690  ;FRASER LAKE
CCA3  46.433333 -62.583333 94    ;CABLE HEAD AIRPARK
CCA6  52.567458 -55.785028 73    ;WILLIAMS HARBOUR
CCA7  45.466667 -64.816667 135   ;APPLE RIVER
CCB6  44.677778 -65.604722 50    ;CLEMENTSPORT MAPLECOVE
CCC2  47.136944 -55.329167 156   ;WINTERLAND
CCD2  49.478889 -56.178056 250   ;SPRINGDALE
CCD3  46.150000 -67.550000 481   ;WOODSTOCK
CCD4  54.910211 -59.785150 223   ;POSTVILLE
CCE3  46.562703 -67.168406 837   ;JUNIPER
CCE4  53.469861 -55.787528 52    ;BLACK TICKLE
CCF3  45.472500 -62.718056 400   ;HOPEWELL
CCF4  44.710000 -63.301667 20    ;PORTERS LAKE
CCF9  45.960278 -67.095278 600   ;SCOTTSFIELD AIRPARK
CCG3  46.037500 -66.858889 140   ;WEYMAN
CCH4  52.765720 -56.112583 210   ;CHARLOTTETOWN
CCHP  65.485472-144.610783 956   ;CIRCLE HOT SPRINGS
CCI9  50.023611-124.984167 164   ;HANSEN
CCJ3  47.448681 -67.624606 958   ;BOSTON BROOK
CCJX  61.867861-158.134917 178   ;CROOKED CREEK
CCK3  47.075000 -67.685000 712   ;GRAND FALLS
CCK4  52.372761 -55.674011 74    ;FOX HARBOUR
CCKU  60.543903-145.726706 12    ;CORDOVA MUN
CCKX  64.071339-141.952281 1640  ;CHICKEN
CCL2  53.768333-105.307778 1650  ;CANDLE LAKE AIRPARK
CCL3  55.628258-110.750367 1905  ;CHRISTINA LAKE
CCLF  64.257033-149.186250 650   ;CLEAR SKY LODGE
CCM3  47.183333 -66.150000 1350  ;SEVOGLE
CCM4  50.688889 -57.331389 90    ;PORT AU CHOIX
CCN2  44.713333 -66.796389 238   ;GRAND MANAN
CCP2  49.056111 -55.448056 365   ;EXPLOITS VALLEY BOTWOOD
CCP4  52.528070 -56.285200 339   ;PORT HOPE SIMPSON
CCP6  54.837778 -69.892778 1672  ;CANIAPISCAU
CCQ3  45.418611 -63.460556 142   ;DEBERT
CCR3  46.426167 -67.628000 508   ;FLORENCEVILLE
CCR4  46.716667 -65.416667 325   ;ROGERSVILLE
CCS3  45.207500 -67.250556 96    ;ST STEPHEN
CCS4  46.148592 -65.904181 65    ;CHIPMAN
CCS5  45.986389 -65.301945 425   ;HAVELOCK
CCS6  49.666667-125.100000 500   ;COURTENAY SMIT FIELD
CCSR  61.158700-149.780611 286   ;CAMPBELL
CCT2  44.238889 -79.638889 750   ;COOKSTOWN
CCV4  47.633333 -52.983334 150   ;BELL ISLAND
CCW3  45.051911 -64.651708 119   ;KINGS CO MUN
CCW4  45.100556 -63.920556 95    ;STANLEY
CCX3  45.566667 -67.100000 300   ;BROCKWAY
CCXC  61.582858-144.427097 556   ;CHITINA
