;Worldwide Navaid Database for PSS
;Exported via DFD v1.0 13.0401
;Software copyright (c) 2013 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;This data is copyrighted and may not be used, recompiled, interpreted or
;distributed for any purpose without the written consent
;of Navigraph.
;
;The contents of this database is dated and must not be
;used for real world navigation as it is unlawful and
;unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1304 (04/APR/2013 - 01/MAY/2013) - Ver.1
;------------------------------------------------------
AN     5.349083  -3.890417  306.00 ;FELIX HOUPHOUET-BOIGNYABIDJAN
AN     8.303333  80.427778  415.00 ;ANURADHAPURA
AN    15.556222  44.220139  228.00 ;SANAA INTL
AN    19.770008  94.029381  385.00 ;ANN
AN    29.607625 -98.569700  368.00 ;ALAMO SAN ANTONIO
AN    33.534342 -85.931295  211.00 ;BOGGA ANNISTON
AN    40.061000  32.932667  285.00 ;ESENBOGA ANKARA
AN    40.693333  72.248333  422.00 ;ANDIZHAN
AN    44.968056  37.303195  401.00 ;ANAPA
AN    50.665000  36.526667  718.00 ;BELGOROD
AN    65.633917  19.143028  381.00 ;ARVIDSJAUR
ANA  -13.762889 -65.432028  345.00 ;SANTA ANA
ANA   -7.345278 -75.005278  380.00 ;CONTAMANA
ANB   36.817978   7.802442  366.00 ;ANNABA
ANC   43.586722  13.472250  374.50 ;ANCONA
ANG   18.205250 -63.092639  209.00 ;WALLBLAKE THE VALLEY
ANI   61.590170-159.597908  359.00 ;ANIAK
ANK   39.953278  32.828334  356.00 ;ANKARA
ANP  -16.317425 -49.040267  415.00 ;ANAPOLIS
ANQ   41.639661 -85.086992  347.00 ;ANGOLA
ANS   49.309667  10.632833  452.00 ;ANSBACH
ANU   17.125639 -61.811356  351.00 ;V.C. BIRD SAINT JOHNS
ANV   62.641458-160.185333  365.00 ;ANVIK
AO    11.834167 -16.324722  295.50 ;CAIO
AO    12.058661   8.541742  340.00 ;KANO
AO    47.081000  20.211806  282.00 ;SZOLNOK
AO    55.152778  38.288611  732.00 ;AKSINYINO
AP   -38.743214 176.074286  230.00 ;TAUPO
AP     2.043056 103.306945  331.00 ;KLUANG
AP     4.072125 -73.478828  270.00 ;APIAY
AP    14.800000 106.816667  212.00 ;ATTOPEU
AP    25.176111 121.522778  250.00 ;ANBU TAIPEI
AP    25.463056  81.699445  328.00 ;ALLAHABAD
AP    39.451906-104.845811  260.00 ;CASSE DENVER
AP    44.960775 -83.560086  206.00 ;FELPS ALPENA
AP    45.034917  37.390667  401.00 ;ANAPA
AP    48.873861-123.290000  378.00 ;ACTIVE PASS
AP    51.776667  39.303333  289.00 ;VORONEZH
AP    69.268333  87.255000  535.00 ;ALYKEL NORILSK
APB  -14.737472 -68.409833  240.00 ;APOLO
APC  -23.614620 -51.424150  215.00 ;APUCARANA
APG   39.535870 -76.106375  349.00 ;ABERDEEN
APH   38.087833 -77.325000  396.00 ;A P HILL
APT   35.059644 -85.583958  382.00 ;JASPER
AQ    10.871795 -74.796170  264.00 ;ERNESTO CORTISSOZBARRANQUILLA
AQ    25.905370  49.596075  290.00 ;ABQAIQ
AQ    29.580147  35.007047  404.00 ;KING HUSSEIN
AQ    44.215894 -88.398986  407.00 ;KOOKY APPLETON
AQA   30.226481  35.221372  418.00 ;KING HUSSEIN
AQC   29.902281  35.118997  326.00 ;KING HUSSEIN
AQE   35.706895 -77.371886  230.00 ;ALWOOD GREENVILLE
AQP   45.228461 -96.009547  356.00 ;APPLETON
AR   -34.823445 -56.006278  260.00 ;CARRASCO MONTEVIDEO
AR    -7.665000 111.435000  315.00 ;ISWAHYUDI MADIUN
AR    -3.367795  36.620408  391.00 ;ARUSHA
AR    20.502306 -13.059083  326.00 ;ATAR
AR    29.956278 -91.863345  269.00 ;ACADI NEW IBERIA
AR    31.708611  74.814306  351.00 ;AMRITSAR
AR    36.723333 116.916667  520.00 ;ZHANGZHUANG
AR    41.810372 -71.353211  356.00 ;ARMIN PROVIDENCE
AR    44.955639   2.367917  343.00 ;AURILLAC
AR    52.278000  20.842195  290.00 ;BABICE WARSAW
AR    53.381500  83.613028  428.00 ;BARNAUL
AR    55.983334  36.799167 1080.00 ;BUZHAROVO
AR    57.336667  61.929722  195.00 ;ARTEMOVSKIY
AR    65.755833 -18.089444  334.00 ;AKUREYRI
ARA  -21.139264 -50.426703  265.00 ;ARACATUBA
ARA   -0.605000 -72.396389  385.00 ;ARARACUARA
ARB   38.330611  48.415111  355.00 ;ARDABIL
ARB   39.921445   9.678667  289.00 ;ARBATAX
ARC  -37.570278 144.892222  206.00 ;ARCADIA MELBOURNE
ARD   46.184000  21.144889  517.00 ;ARAD
ARE  -22.168889 -49.069722  340.00 ;AREALVA
ARF   34.252903 -86.223544  296.00 ;SARATOGA ALBERTVILLE
ARF   40.732778  30.084444  383.50 ;ARIFIYE
ARG   -8.353606 -49.299222  230.00 ;ARAGUAIA CONCEICAO DO-
ARI   39.645806  43.027083  289.00 ;AGRI
ARK   34.134500  49.848667  280.00 ;ARAK
ARL   18.783333   7.366667  293.00 ;ARLIT
ARM  -30.527300 151.615022  401.00 ;ARMIDALE
ARM   29.254644 -96.152025  245.00 ;WHARTON
ARM   37.131389  -3.632778  344.00 ;ARMILLA GRANADA
ARS  -34.414114 137.923161  398.00 ;ARDROSSAN
ARV   45.926764 -89.728525  221.00 ;ARBOR VITAE MINOCQUA
ARW   34.989722  -3.044167  355.00 ;NADOR
ARX  -19.561000 -46.964667  210.00 ;ARAXA UBERABA TMA
AS   -43.905195 171.808117  254.00 ;ASHBURTON
AS   -23.777939 133.873525  335.00 ;ALICE SPRINGS
AS     3.519900 -76.385731  240.00 ;ALFONSO BONILLA ARAGON INTL
AS    12.980861  80.143750  211.00 ;CHENNAI INTL
AS    15.281389  38.885000  305.00 ;ASMARA
AS    16.956350   7.974878  340.00 ;AGADES
AS    21.954353  96.402608  345.00 ;ANISAKAN
AS    42.823386 -71.602211  359.00 ;CHERN NASHUA
AS    43.833161  18.308739  381.00 ;SARAJEVO
AS    47.577250  -0.151444  392.00 ;ANGERS
AS    65.562167  19.367611  358.00 ;ARVIDSJAUR
AS    65.675161  24.552842  324.00 ;ALFA-SIERRA KEMI
AS    66.316667-179.146389  275.00 ;ZALIV KRESTA
AS    66.844167  88.510833  368.00 ;SVETLOGORSK
ASG  -15.929722 -63.155278  390.00 ;ASCENSION GUARAYOS
ASI  -34.789528 -56.263028  395.00 ;ADAMI MONTEVIDEO
ASK   60.421997   5.180253  360.00 ;ASKOY BERGEN
ASN   -7.946900 -14.409517  360.00 ;ASCENSION AUX
ASS  -22.644792 -50.453000  275.00 ;ASSIS
AST   43.557833  -6.028389  325.00 ;ASTURIAS
AT   -30.402917 -56.487083  405.00 ;ARTIGAS
AT   -20.003333-158.106667  388.00 ;ATIU
AT   -14.904167  47.995556  374.00 ;ANTSOHIHY
AT    -0.142572 109.405089  245.00 ;PONTIANAK
AT     6.159194 100.371556  385.00 ;ALOR STAR
AT    10.831611  72.179944  360.00 ;AGATTI
AT    23.887334  91.243889  237.00 ;AGARTALA
AT    33.646811 -84.542111  375.00 ;CATTA ATLANTA
AT    39.847000 -84.334811  315.00 ;BRUNY DAYTON
AT    44.162497 -88.585039  230.00 ;GAMIE APPLETON
AT    44.803278 -97.150139  215.00 ;LICAN WATERTOWN
AT    45.861639   6.020333  384.00 ;ANNECY
ATA   -9.347222 -77.595833  415.00 ;ANTA
ATA   33.104203 -94.190061  347.00 ;ATLANTA
ATF   -9.870564 -56.101464  245.00 ;ALTA FLORESTA
ATF   57.077514  -2.105700  348.00 ;DYCE ABERDEEN
ATK   70.469064-157.427495  350.00 ;ATQASUK
ATL   36.581070  26.375603  422.00 ;ASTYPALAIA
ATM   -3.256428 -52.250878  295.00 ;ALTAMIRA
ATR   37.949803  -1.230356  345.00 ;ALCANTARILLA MURCIA
ATS   32.852703-104.460511  414.00 ;ARTESIA
AU    19.860556  75.398500  205.00 ;AURANGABAD
AU    40.566667  48.383333  420.00 ;AKHSU
AU    43.886389  51.035278  670.00 ;AKTAU
AU    44.410920 -69.860667  366.00 ;DUNNS AUGUSTA
AU    55.990995   8.318358  346.00 ;STAUNING
AUB   44.442139   4.362056  427.00 ;AUBENAS
AUB   58.737167-156.778308  355.00 ;CHINOOK KING SALMON
AUR   30.198519 -93.420642  278.00 ;SULFY SULPHUR
AV   -23.884445-147.664806  372.00 ;RAIVAVAE
AV   -22.036472 166.252056  338.00 ;TONTOUTA NOUMEA
AV   -17.964442 -38.693867  290.00 ;ABROLHOS
AV     6.374445 124.748611  377.00 ;ALLAH VALLEY SURALLAH
AV    43.539083  -5.930528  387.00 ;ASTURIAS
AV    46.881334   2.928834  306.50 ;AVORD
AV    50.053056 -97.045000  275.00 ;SAINT ANDREWS WINNIPEG
AV    57.739306  11.865306  405.00 ;SAVE GOTEBORG
AVA  -26.649333 -46.891861  265.00 ;AVARE
AVD   47.120667   2.799611  288.50 ;AVORD
AVI   45.924336  12.428522  390.00 ;AVIANO
AVN   43.009986 -77.769147  344.00 ;AVON
AVN   54.681600  25.318703  385.00 ;VILNIUS
AVQ   32.411839-111.215586  245.00 ;MARANA TUCSON
AVZ   32.760128 -96.249144  260.00 ;TRAVIS TERRELL
AW    48.076119-122.153911  382.00 ;WATON ARLINGTON
AWG   41.279789 -91.672736  219.00 ;WASHINGTON
AWS   32.293206 -85.023264  335.00 ;LAWSON COLUMBUS
AWW   40.168100 -84.921909  212.00 ;WINCHESTER
AWZ   31.344139  48.744583  415.00 ;AHWAZ
AX    14.145967  38.776331  440.00 ;AXUM
AX    47.920167   3.502139  417.00 ;AUXERRE
AXA   43.081389 -94.272297  403.00 ;ALGONA
AY   -36.068542 146.969736  236.00 ;ALBURY
AY     9.643864  41.844145  241.00 ;DIRE DAWA
AY    11.572222   1.456945  316.00 ;ARLY
AY    22.855309 120.261867  265.00 ;KANGSHAN
